# Time (seconds),f0_f0_f0,f0_f0_f1,f0_f0_f2,f0_f0_f3,f0_f0_f4,f0_f0_f5,f0_f0_f6,f0_f0_f7
0.039,1.0134735107421875,1.029510498046875,1.0551605224609375,1.0670623779296875,1.0637054443359375,1.046966552734375,1.02105712890625,0.994171142578125
0.078,1.0076446533203125,1.0228271484375,1.0499725341796875,1.0662994384765625,1.0652008056640625,1.0473480224609375,1.0229644775390625,0.99658203125
0.117,1.0162200927734375,1.0328369140625,1.0560760498046875,1.068084716796875,1.065582275390625,1.0487213134765625,1.0227203369140625,0.9942474365234375
0.156,1.0076751708984375,1.0250701904296875,1.052581787109375,1.065704345703125,1.0621490478515625,1.0454254150390625,1.0217437744140625,0.995269775390625
0.195,1.0090789794921875,1.0253143310546875,1.0516510009765625,1.0648651123046875,1.0634613037109375,1.049163818359375,1.0248565673828125,0.995147705078125
0.234,1.0085601806640625,1.026702880859375,1.0521240234375,1.06414794921875,1.0630340576171875,1.0513458251953125,1.027679443359375,0.99664306640625
0.273,1.0114898681640625,1.0256500244140625,1.051361083984375,1.06610107421875,1.06439208984375,1.0484771728515625,1.0231170654296875,0.9964752197265625
0.312,0.9983367919921875,1.0166168212890625,1.0435791015625,1.0573883056640625,1.0584716796875,1.04656982421875,1.024322509765625,0.9978485107421875
0.351,1.00885009765625,1.02252197265625,1.044158935546875,1.0567626953125,1.0582733154296875,1.0460052490234375,1.024993896484375,0.9999542236328125
0.39,1.006591796875,1.0196380615234375,1.04486083984375,1.0608978271484375,1.062286376953125,1.048248291015625,1.02435302734375,0.995941162109375
0.429,1.000091552734375,1.017913818359375,1.0428314208984375,1.0555572509765625,1.0557708740234375,1.04266357421875,1.019744873046875,0.99639892578125
0.468,1.0132598876953125,1.02740478515625,1.050567626953125,1.06341552734375,1.0601959228515625,1.04376220703125,1.01983642578125,0.99591064453125
0.507,1.0102996826171875,1.0234375,1.0469207763671875,1.0594024658203125,1.0584716796875,1.04364013671875,1.020355224609375,0.996124267578125
0.546,1.0098724365234375,1.02117919921875,1.0434112548828125,1.0567626953125,1.054931640625,1.03997802734375,1.016754150390625,0.9932708740234375
0.585,1.0108795166015625,1.0260009765625,1.0486297607421875,1.0601654052734375,1.0586700439453125,1.044342041015625,1.0180511474609375,0.9916534423828125
0.624,1.01434326171875,1.028228759765625,1.0488739013671875,1.0601654052734375,1.0578765869140625,1.0435943603515625,1.02142333984375,0.9949951171875
0.663,1.0046539306640625,1.0206146240234375,1.0457916259765625,1.0595855712890625,1.0599822998046875,1.045379638671875,1.019134521484375,0.99078369140625
0.702,1.0107574462890625,1.026611328125,1.0507965087890625,1.064056396484375,1.0610809326171875,1.0428466796875,1.01751708984375,0.9908447265625
0.741,1.020172119140625,1.035064697265625,1.0573883056640625,1.067657470703125,1.0642852783203125,1.0482330322265625,1.0221099853515625,0.993865966796875
0.78,1.01251220703125,1.0285797119140625,1.052490234375,1.061279296875,1.0574188232421875,1.0445709228515625,1.0221099853515625,0.995361328125
0.819,1.021240234375,1.0343780517578125,1.0541534423828125,1.0637359619140625,1.06060791015625,1.0461273193359375,1.0246734619140625,0.998931884765625
0.858,1.0076904296875,1.022918701171875,1.046295166015625,1.059173583984375,1.059722900390625,1.04644775390625,1.021728515625,0.994964599609375
