# Time (seconds),f0_f0_f0,f0_f0_f1,f0_f0_f2,f0_f0_f3,f0_f0_f4,f0_f0_f5,f0_f0_f6,f0_f0_f7
0.039,1.0523529052734375,1.0777435302734375,1.079132080078125,1.049896240234375,1.0035858154296875,0.9499053955078125,0.89801025390625,0.857666015625
0.078,1.0620574951171875,1.0852813720703125,1.0874786376953125,1.0566558837890625,1.0057373046875,0.949371337890625,0.896636962890625,0.8574676513671875
0.117,1.055999755859375,1.081298828125,1.0869293212890625,1.0583343505859375,1.00775146484375,0.949432373046875,0.896209716796875,0.85675048828125
0.156,1.0550537109375,1.077789306640625,1.0816802978515625,1.055877685546875,1.0096435546875,0.952667236328125,0.8980712890625,0.8584442138671875
0.195,1.06597900390625,1.089324951171875,1.0915069580078125,1.0627288818359375,1.0135955810546875,0.95550537109375,0.899200439453125,0.8577117919921875
0.234,1.0504913330078125,1.0766448974609375,1.0810089111328125,1.052703857421875,1.0049285888671875,0.9488677978515625,0.8946075439453125,0.8559722900390625
0.273,1.0611724853515625,1.0848236083984375,1.086212158203125,1.05670166015625,1.0099029541015625,0.9524993896484375,0.8959808349609375,0.85595703125
0.312,1.0650787353515625,1.0882568359375,1.088653564453125,1.0584259033203125,1.0096588134765625,0.9524688720703125,0.89739990234375,0.85748291015625
0.351,1.0595703125,1.084014892578125,1.0871429443359375,1.058074951171875,1.00885009765625,0.9506072998046875,0.89520263671875,0.8550567626953125
0.39,1.065338134765625,1.0877838134765625,1.087310791015625,1.05548095703125,1.0058135986328125,0.9507598876953125,0.89801025390625,0.8594970703125
0.429,1.0568389892578125,1.079010009765625,1.0825653076171875,1.056640625,1.008697509765625,0.949676513671875,0.8964385986328125,0.8592529296875
0.468,1.051788330078125,1.077728271484375,1.0829315185546875,1.0561676025390625,1.0088958740234375,0.9517669677734375,0.897430419921875,0.85699462890625
0.507,1.0594024658203125,1.0834197998046875,1.085968017578125,1.0568695068359375,1.007171630859375,0.9513397216796875,0.8981170654296875,0.8582763671875
0.546,1.054443359375,1.0781097412109375,1.080596923828125,1.0519561767578125,1.00494384765625,0.9486846923828125,0.89349365234375,0.854583740234375
0.585,1.0581512451171875,1.080810546875,1.0814208984375,1.0518341064453125,1.0056304931640625,0.9505615234375,0.895904541015625,0.856109619140625
0.624,1.0543060302734375,1.0810699462890625,1.085052490234375,1.056182861328125,1.0059661865234375,0.94830322265625,0.895111083984375,0.85791015625
0.663,1.0595245361328125,1.08319091796875,1.08343505859375,1.054473876953125,1.0084381103515625,0.9520263671875,0.8961639404296875,0.8553466796875
0.702,1.05877685546875,1.0835418701171875,1.0851593017578125,1.054718017578125,1.0067138671875,0.951263427734375,0.89593505859375,0.8558807373046875
